playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesRun,gradesPass
53398,Eric Meeks,G,0,,2026,214,64.5,75.5,79,63,57,0,1,0,5,0,0,20,25,5,20,MARSHALL,MARSHALL,,,,
53851,Logan Osburn,C,0,,2025,214,68.9,79.8,78.7,64.5,65,0,1,0,31,0,0,41,72,31,41,MARSHALL,MARSHALL,,,,
63838,Jack Coldiron,TE,0,,2025,221,64.4,73.6,77.9,48.4,89,0,1,0,4,8,0,4,16,12,4,MIAMI OH,MIAMI OH,61,66.6,,
70933,DeCarlos Brooks,HB,0,,2025,110,65.9,72.9,,68,25,0,1,0,0,0,5,9,14,0,14,ARIZONA ST,ARIZONA ST,69.7,,62.3,
71674,Silas Bolden,WR,0,2025,2025,311,89.7,69.6,,,11,0,1,0,0,5,0,0,5,5,0,TEXAS,TEXAS,70.1,84.3,,
72689,Marshall Jackson,T,1,,2026,346,55.6,76.4,76.8,44,53,1,1,0,38,0,0,23,61,38,23,W KENTUCKY,W KENTUCKY,,,,
73582,Cade Briggs,G,0,,2025,110,51.1,71.9,,51,55,0,1,0,0,0,0,14,14,0,14,ARIZONA ST,ARIZONA ST,,,,
74267,Melquan Stovall,WR,0,,2025,110,73.5,76.4,,70.8,05,0,1,0,0,16,0,14,30,16,14,ARIZONA ST,ARIZONA ST,68,71.4,,
86272,Dillon Gabriel,QB,0,2025,2025,264,79.5,77.2,,60.2,08,0,1,35,0,0,5,35,75,35,40,OREGON,OREGON,34.6,,53.4,84.9
86538,Chase Penry,WR,0,,2026,120,45,69.2,,59.8,13,0,1,0,0,4,0,2,6,4,2,BOISE ST,BOISE ST,61.9,48.1,,
90626,Beau Gardner,LS,0,2026,2026,173,60,60,63.8,,S60,0,1,0,1,0,0,0,1,1,0,GEORGIA,GEORGIA,,,,
97127,Samario Rudolph,WR,1,,2026,196,43.4,0,,60,03,1,1,0,0,2,0,2,4,2,2,JVILLE ST,JVILLE ST,67.5,57.4,,
97218,Jacob Bernard,WR,0,,2025,207,53.6,76.2,,55.7,04,0,1,0,0,21,0,13,34,21,13,LA LAFAYET,LA LAFAYET,71.4,54.1,,
97285,Trenton Bourguet,QB,0,,2025,110,62,66.6,,,16,0,1,0,0,0,3,0,3,0,3,ARIZONA ST,ARIZONA ST,67.3,,60.8,
97286,Chandler Fields,QB,0,,2025,207,75.1,71.8,,60,18,0,1,9,0,0,1,7,17,9,8,LA LAFAYET,LA LAFAYET,66.3,,56.4,80
97404,Brett Gabbert,QB,0,2025,2025,221,40.7,74.7,,60,05,0,1,27,0,0,1,11,39,27,12,MIAMI OH,MIAMI OH,68.5,,57,40.9
97585,Ethan Hudak,LS,0,,2025,319,60,60,,60,S57,0,1,0,0,0,0,1,1,0,1,TULANE,TULANE,,,,
97645,Jakai Clark,C,0,,2025,287,61.6,15.4,85.1,57,53,1,1,0,57,0,0,30,87,57,30,SMU,SMU,,,,
97656,Parker Titsworth,C,0,,2025,259,59.7,79.8,58.3,59.1,69,0,1,0,31,0,0,41,72,31,41,OHIO,OHIO,,,,
97779,Lance LeGendre,WR,0,,2025,207,65.8,0,,62.3,09,1,1,0,0,35,0,11,46,35,11,LA LAFAYET,LA LAFAYET,65,67.3,,
98019,Dalvin Smith,WR,0,,2025,346,52.2,74.6,,59.5,17,0,1,0,0,18,0,8,26,18,8,W KENTUCKY,W KENTUCKY,,52.6,,
98043,AJ Gillie,G,0,,2025,207,69.8,79.8,81.1,67.5,53,0,1,0,42,0,0,22,64,42,22,LA LAFAYET,LA LAFAYET,,,,
98057,Nishad Strother,G,0,,2025,264,61.9,79.2,76.1,59.2,50,0,1,0,24,0,0,32,56,24,32,OREGON,OREGON,,,,
98064,Christophe Atkinson,G,0,,2025,259,51.2,4,53.1,53.7,66,1,1,0,30,0,0,41,71,30,41,OHIO,OHIO,,,,
98077,Caleb Thomas,G,0,,2025,319,60,60,,60,58,0,1,0,0,0,0,1,1,0,1,TULANE,TULANE,,,,
98255,Jax Harrington,G,0,,2026,207,67.2,78.7,69.2,67.1,70,0,1,0,42,0,0,19,61,42,19,LA LAFAYET,LA LAFAYET,,,,
98277,King McGowen,T,0,,2025,207,51.8,73.7,50.3,50.6,77,0,1,0,18,0,0,8,26,18,8,LA LAFAYET,LA LAFAYET,,,,
98414,Jeremy Jones,T,0,,2025,214,60.5,19.1,62.4,63.5,74,1,1,0,31,0,0,41,72,31,41,MARSHALL,MARSHALL,,,,
99046,Vincent Murphy,C,0,,2025,319,56.7,0,83.6,54.8,64,1,1,0,33,0,0,20,53,33,20,TULANE,TULANE,,,,
99071,Justin Osborne,G,0,2025,2025,287,64.6,79.9,66.1,63.7,51,0,1,0,57,0,0,31,88,57,31,SMU,SMU,,,,
99076,Clay Webb,G,0,2025,2025,196,77.5,79.6,81.4,75.8,74,0,1,0,16,0,0,47,63,16,47,JVILLE ST,JVILLE ST,,,,
99082,Xavier Truss,T,0,2025,2025,173,59.2,76.9,63.6,55.8,73,0,1,0,39,0,0,33,72,39,33,GEORGIA,GEORGIA,,,,
99086,Bryce Ramsey,G,0,,2025,214,56.7,80.1,39.7,57.9,55,0,1,0,31,0,0,39,70,31,39,MARSHALL,MARSHALL,,,,
99181,Sean Brown,TE,0,,2025,196,79.6,70.9,64.4,66.9,17,0,1,0,1,2,0,11,14,3,11,JVILLE ST,JVILLE ST,61,79.9,,
99244,DeMarcus Harris,WR,0,,2025,214,55.3,73.6,,61.1,04,0,1,0,0,7,0,13,20,7,13,MARSHALL,MARSHALL,,54.9,,
99431,Stacey Wilkins,T,0,,2025,346,62.2,77.1,68.5,57.1,71,0,1,0,38,0,0,23,61,38,23,W KENTUCKY,W KENTUCKY,,,,
99440,Jarrod Hufford,C,0,2025,2025,193,46.5,6.6,34.5,54.7,54,1,1,0,47,0,0,27,74,47,27,IOWA STATE,IOWA STATE,,,,
99452,Elijah Ellis,T,0,2025,2025,214,69.8,77.4,84.4,63,52,0,1,0,31,0,0,41,72,31,41,MARSHALL,MARSHALL,,,,
99592,Jordan Houston,HB,0,,2025,214,74.1,75.8,76.1,71,06,0,1,0,3,14,17,11,45,17,28,MARSHALL,MARSHALL,75.8,54.6,73.2,
100275,Michael Mathison,WR,0,,2025,346,59.4,0,,61.6,04,2,1,0,0,21,1,10,32,21,11,W KENTUCKY,W KENTUCKY,66,60.1,63.2,
100518,Ben Coleman,G,0,,2026,110,57.1,78.2,76.2,52.8,62,0,1,0,23,0,0,20,43,23,20,ARIZONA ST,ARIZONA ST,,,,
100625,Patrick Herbert,TE,0,2025,2025,264,51.5,73.5,66.7,52.9,88,0,1,0,2,2,0,22,26,4,22,OREGON,OREGON,,54.8,,
100662,Andre Johnson,WR,0,,2025,221,52.9,76.6,,59.6,01,0,1,0,0,21,0,11,32,21,11,MIAMI OH,MIAMI OH,61,53.1,,
101050,Cam Jones,T,0,,2025,196,75.5,76.4,79.6,71.3,69,0,1,0,16,0,0,47,63,16,47,JVILLE ST,JVILLE ST,,,,
101219,Tyler Crowe,HB,0,,2025,120,60,62.7,,,33,0,1,0,0,1,0,0,1,1,0,BOISE ST,BOISE ST,,60,,
101247,Ben Dooley,G,0,2025,2025,120,61.4,79.7,86.1,56.7,66,1,1,0,29,0,0,36,65,29,36,BOISE ST,BOISE ST,,,,
101261,Leif Fautanu,C,0,2025,2025,110,62.6,77.9,81.5,57.8,79,0,1,0,23,0,0,20,43,23,20,ARIZONA ST,ARIZONA ST,,,,
101559,Sal Wormley,G,0,2025,2025,266,57.9,9,80.3,55.7,77,1,1,0,44,0,0,32,76,44,32,PENN STATE,PENN STATE,,,,
101725,Cade McDonald,WR,0,2025,2025,221,59.2,73.5,,61.2,15,0,1,0,0,20,0,8,28,20,8,MIAMI OH,MIAMI OH,66.2,59,,
102348,Hajj-Malik Williams,QB,0,,2025,325,41.7,23.3,,60,06,1,1,39,0,0,11,15,65,39,26,UNLV,UNLV,24.9,,65.5,33.2
102820,Landon Burton,C,0,,2025,207,71,79.4,79.5,66.2,55,0,1,0,42,0,0,22,64,42,22,LA LAFAYET,LA LAFAYET,,,,
102933,Dalen Cambre,WR,0,2025,2025,207,56.3,66.5,,60,11,0,1,0,0,2,0,1,3,2,1,LA LAFAYET,LA LAFAYET,,57.6,,
104969,Coleman Owen,WR,0,2025,2025,259,78,77.2,,62.2,06,0,1,0,0,29,1,39,69,29,40,OHIO,OHIO,22.3,75.7,63.4,
105622,Chaz Ward,TE,0,,2025,207,60,65.9,,59.5,22,0,1,0,0,0,0,2,2,0,2,LA LAFAYET,LA LAFAYET,,,,
109040,P.J. Wells,WR,0,,2025,196,58.5,74.6,,62.7,13,0,1,0,0,2,0,17,19,2,17,JVILLE ST,JVILLE ST,,57.4,,
121550,Isaiah Alston,WR,0,,2026,193,56.1,68.4,,60,08,0,1,0,0,2,0,1,3,2,1,IOWA STATE,IOWA STATE,,57.4,,
121569,Connor Finucane,T,0,,2025,114,64.4,78.2,0,67.7,60,0,1,0,3,0,0,54,57,3,54,ARMY,ARMY,,,,
121583,Jordyn Law,T,0,,2025,114,60,66.1,,60,77,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
121607,Tyrell Robinson,WR,0,,2025,114,57,71.7,,58.3,21,0,1,0,0,0,1,10,11,0,11,ARMY,ARMY,64.8,,58.8,
121781,Rodney Newsom Jr.,G,0,,2026,346,60.5,78.8,64.9,58.5,65,0,1,0,38,0,0,23,61,38,23,W KENTUCKY,W KENTUCKY,,,,
121949,Ben Sparks,G,0,,2025,287,60,65,,60,75,0,1,0,0,0,0,1,1,0,1,SMU,SMU,,,,
122156,Walker Parks,G,0,,2026,140,46.9,77.3,37.8,45.7,64,0,1,0,30,0,0,13,43,30,13,CLEMSON,CLEMSON,,,,
122398,Markeston Douglas,TE,0,,2026,110,54.5,71.4,67.2,55.5,18,0,1,0,2,2,0,8,12,4,8,ARIZONA ST,ARIZONA ST,,55.8,,
122496,Jeff Sims,QB,0,,2026,110,90.7,70.7,,60,06,1,1,0,0,0,6,5,11,0,11,ARIZONA ST,ARIZONA ST,70.5,,79.8,
122521,Stevo Klotz,TE,0,2025,2025,193,60.9,77.4,77.4,70.1,49,0,1,0,6,13,0,19,38,19,19,IOWA STATE,IOWA STATE,,49,,
122526,Tyler Miller,T,0,2026,2026,193,52.6,77.1,61.1,46.2,66,0,1,0,47,0,0,27,74,47,27,IOWA STATE,IOWA STATE,,,,
122608,Christian Moore,TE,0,,2026,325,51.1,75.9,65.4,50,44,0,1,0,1,9,0,13,23,10,13,UNLV,UNLV,,52.7,,
122634,Dontae Fleming,WR,0,2025,2025,319,47.8,76.8,,61.1,01,0,1,0,0,27,0,8,35,27,8,TULANE,TULANE,61,48.3,,
122707,Christian Fitzpatrick,WR,0,,2026,214,64,77.2,,72.6,16,0,1,0,0,26,0,27,53,26,27,MARSHALL,MARSHALL,64.1,61.7,,
123112,Moochie Dixon,WR,0,2025,2025,287,65.6,75.2,,79.8,05,0,1,0,0,22,0,9,31,22,9,SMU,SMU,62.9,63.2,,
123123,Jake Majors,C,0,2025,2025,311,65.4,80.1,69.6,62.2,65,0,1,0,55,0,0,23,78,55,23,TEXAS,TEXAS,,,,
123124,Troy Omeire,WR,0,,2027,110,55.4,77.2,,75.4,09,0,1,0,0,16,0,19,35,16,19,ARIZONA ST,ARIZONA ST,,52.6,,
123125,Logan Parr,G,0,,2026,287,55.8,80.9,68.7,49.7,71,0,1,0,57,0,0,31,88,57,31,SMU,SMU,,,,
123211,Reggie Brown,TE,0,,2025,319,51.2,73.8,53,54.1,09,0,1,0,3,6,0,14,23,9,14,TULANE,TULANE,,53.5,,
123217,Rashad Green,T,0,,2025,319,67.2,75.9,81.2,58.3,69,0,1,0,33,0,0,21,54,33,21,TULANE,TULANE,,,,
123232,Josh Remetich,G,0,,2025,319,58.5,0,57.2,64,68,1,1,0,33,0,0,21,54,33,21,TULANE,TULANE,,,,
123238,Phat Watts,WR,0,,2025,319,59.3,69,,60,03,0,1,0,0,1,0,2,3,1,2,TULANE,TULANE,,59.9,,
123342,Jordan Brunson,HB,0,,2026,221,73.9,67.3,,,06,0,1,0,0,0,4,0,4,0,4,MIAMI OH,MIAMI OH,68.6,,70.7,
123456,Quantavious Leslie,G,0,,2025,346,63,79.7,88.2,56.3,78,0,1,0,38,0,0,23,61,38,23,W KENTUCKY,W KENTUCKY,,,,
123472,Noah Whittington,HB,0,2026,2026,264,75.6,76.7,76.2,60.1,06,0,1,0,2,14,15,4,35,16,19,OREGON,OREGON,75.3,54.9,77.2,
123494,Preston Daniel,TE,0,,2025,221,59.4,70.4,,60.3,85,0,1,0,0,1,0,5,6,1,5,MIAMI OH,MIAMI OH,,60,,
123703,Derrick Graham,T,0,2026,2026,319,65.6,76.7,61.7,65.3,76,0,1,0,33,0,0,21,54,33,21,TULANE,TULANE,,,,
123709,Tez Johnson,WR,0,2025,2025,264,84.3,79.3,,37.5,15,0,1,0,0,28,0,24,52,28,24,OREGON,OREGON,68.2,90.5,,
123758,Parker Navarro,QB,0,,2026,259,73.9,77,,60,13,0,1,31,0,0,13,28,72,31,41,OHIO,OHIO,26.8,,80,59.2
123917,Traeshon Holden,WR,0,2025,2025,264,59.6,78.2,,84.5,01,0,1,0,0,34,0,31,65,34,31,OREGON,OREGON,62.9,52.4,,
123963,Jalen St. John,T,0,,2026,325,63.7,77.2,72.5,57.1,74,0,1,0,39,0,0,26,65,39,26,UNLV,UNLV,,,,
124010,Carson Beck,QB,1,2026,2026,173,43,73.5,,60,15,2,1,18,0,0,1,8,27,18,9,GEORGIA,GEORGIA,23.8,,59.9,42.3
124034,Tate Ratledge,G,0,2025,2025,173,74.6,79.2,75.5,75.1,69,0,1,0,39,0,0,33,72,39,33,GEORGIA,GEORGIA,,,,
124039,Arian Smith,WR,0,2025,2025,173,62.4,77,,61.3,11,0,1,0,0,27,0,20,47,27,20,GEORGIA,GEORGIA,65.7,62,,
124084,John Young,G,0,,2025,221,49.5,77.6,17.3,57.5,71,0,1,0,26,0,0,10,36,26,10,MIAMI OH,MIAMI OH,,,,
124223,Elijah Young,HB,0,2025,2025,346,73.9,75.8,82.1,,03,0,1,0,9,19,19,0,47,28,19,W KENTUCKY,W KENTUCKY,76.5,58.8,74.6,
124649,Braden Bartosh,G,0,,2026,114,60,67.5,,60,50,0,1,0,0,0,0,2,2,0,2,ARMY,ARMY,,,,
124736,Andrew Paul,HB,0,,2027,196,58.6,70.1,72.7,59.8,00,0,1,0,1,0,5,3,9,1,8,JVILLE ST,JVILLE ST,69.7,,58.5,
124831,Jake Briningstool,TE,0,2025,2025,140,54,78.5,64.4,37.2,09,0,1,0,1,35,0,19,55,36,19,CLEMSON,CLEMSON,65,65.6,,
125155,Jaylin Noel,WR,0,2025,2025,193,60.1,0,,61.4,13,1,1,0,0,42,0,19,61,42,19,IOWA STATE,IOWA STATE,67.7,61.7,,
125354,Jacob Dennison,T,0,,2026,259,59.8,76.9,60.7,58.3,77,0,1,0,31,0,0,41,72,31,41,OHIO,OHIO,,,,
125373,Will O'Steen,T,0,,2026,196,63.2,77.4,74,60.3,73,0,1,0,16,0,0,57,73,16,57,JVILLE ST,JVILLE ST,,,,
127253,Quinn Ewers,QB,0,2025,2025,311,87.7,77.3,,60,03,0,1,55,0,0,0,21,76,55,21,TEXAS,TEXAS,70,,57.3,87.9
128118,Austin Bolt,WR,0,,2025,120,60.6,76,,77.4,81,0,1,0,0,6,0,23,29,6,23,BOISE ST,BOISE ST,,55.4,,
128119,Latrell Caples,WR,0,,2026,120,63.8,78.3,,41.4,03,0,1,0,0,21,0,26,47,21,26,BOISE ST,BOISE ST,64.6,67.9,,
128343,Kaleo Ballungay,TE,0,,2025,325,50.6,77.8,37.4,54.8,19,0,1,0,5,26,0,15,46,31,15,UNLV,UNLV,62.9,53.1,,
128371,Tiger Shanks,T,0,,2025,325,67.4,77,78,62.1,70,0,1,0,36,3,0,26,65,39,26,UNLV,UNLV,,56.1,,
129581,Matthew Hibner,TE,0,2026,2026,287,64.8,79.6,65.3,78,88,0,1,0,8,46,0,29,83,54,29,SMU,SMU,65.7,60.2,,
129639,Ricky White,WR,0,2025,2025,325,58.9,78.7,,72.5,11,0,1,0,0,39,0,25,64,39,25,UNLV,UNLV,65.7,57,,
129713,Logan Smothers,QB,0,,2025,196,67.6,63.6,,,07,0,1,0,0,0,1,0,1,0,1,JVILLE ST,JVILLE ST,62.5,,63.1,
129745,Julian Fleming,WR,0,,2025,266,58.7,76.1,,73,03,0,1,0,0,10,0,20,30,10,20,PENN STATE,PENN STATE,,54.9,,
129773,Nick Dawkins,C,0,2026,2026,266,52,80,30.5,57.4,53,0,1,0,44,0,0,32,76,44,32,PENN STATE,PENN STATE,,,,
129798,Tyler Warren,TE,0,2025,2025,266,78.1,79.3,,80.2,44,0,1,1,0,43,1,29,74,44,30,PENN STATE,PENN STATE,67.9,71.1,63.3,60
130400,Trevor Borland,TE,0,,2025,346,58.8,72.7,,60.8,86,0,1,0,0,2,0,11,13,2,11,W KENTUCKY,W KENTUCKY,64.2,55.8,,
130517,Kevin Davis,HB,0,,2025,221,57.1,72.2,,,08,0,1,0,0,9,2,0,11,9,2,MIAMI OH,MIAMI OH,69.4,54.7,59.7,
130520,Reid Holskey,T,0,2025,2025,221,52.8,74.6,52.6,51.6,56,0,1,0,27,0,0,12,39,27,12,MIAMI OH,MIAMI OH,,,,
130523,Charlie Nank,C,0,,2025,221,49.1,77.5,26.3,56.2,77,0,1,0,27,0,0,12,39,27,12,MIAMI OH,MIAMI OH,,,,
130593,Joseph Habinowski,G,0,,2026,259,60.4,69.8,,60.1,73,0,1,0,0,0,0,4,4,0,4,OHIO,OHIO,,,,
131674,Shaadie Clayton-Johnson,HB,0,,2026,319,62.2,70.5,,59.3,02,0,1,0,0,4,2,2,8,4,4,TULANE,TULANE,65.5,57.8,63.1,
131712,Marcus Harper II,G,0,,2025,264,56.7,77,72.9,53.3,55,0,1,0,16,0,0,18,34,16,18,OREGON,OREGON,,,,
131786,Benjamin Yurosek,TE,0,2025,2025,173,46.8,74.9,72.3,35.4,84,0,1,0,2,12,0,12,26,14,12,GEORGIA,GEORGIA,62.9,64.6,,
131819,Gary Bryant Jr.,WR,0,,2026,264,60,63.5,,,02,0,1,0,0,1,0,0,1,1,0,OREGON,OREGON,67.5,60,,
133616,Rodney Harris II,WR,0,,2027,259,57.2,77.9,,61.2,11,0,1,0,0,31,0,38,69,31,38,OHIO,OHIO,64.1,56.5,,
134899,Mathyus Su'a,G,0,,2026,325,55,0,38.9,64,78,1,1,0,23,0,0,18,41,23,18,UNLV,UNLV,,,,
139386,Jaylon Jackson,HB,0,,2025,193,64.2,73.6,,,12,0,1,0,0,14,4,0,18,14,4,IOWA STATE,IOWA STATE,71.5,52.9,69.9,
141590,Xavier Guillory,WR,0,2025,2025,110,68.5,76.4,,64.2,01,0,1,0,0,21,0,19,40,21,19,ARIZONA ST,ARIZONA ST,62.9,67.9,,
141735,Kisean Johnson,WR,0,2025,2025,346,57.9,79.9,,61.7,00,0,1,0,0,38,0,17,55,38,17,W KENTUCKY,W KENTUCKY,61,57.5,,
141877,Connor Briggs,TE,0,,2025,221,60,64.4,,60,04,0,1,0,0,0,0,1,1,0,1,MIAMI OH,MIAMI OH,,,,
142023,Michael Pettway,WR,0,,2026,196,61.3,75.6,,61.6,02,0,1,0,0,11,0,30,41,11,30,JVILLE ST,JVILLE ST,65.1,60.7,,
142567,Tyler Huff,QB,0,,2025,196,90.5,77,,60,06,0,1,16,0,0,23,33,72,16,56,JVILLE ST,JVILLE ST,76.6,,76.3,86.3
142968,Ajani Cornelius,T,0,2025,2025,264,62.3,77,30.2,70.6,65,0,1,0,35,0,0,40,75,35,40,OREGON,OREGON,,,,
143886,Malik McClain,WR,0,2026,2026,110,77.3,72.6,,60,12,0,1,0,0,6,0,6,12,6,6,ARIZONA ST,ARIZONA ST,63.6,75.1,,
143936,Romello Brinson,WR,0,2026,2026,287,65.2,80,,61.8,03,0,1,0,0,34,0,20,54,34,20,SMU,SMU,66.2,64.6,,
143950,Key'Shawn Smith,WR,0,2025,2025,287,55.8,77.2,,61.2,09,0,1,0,0,36,0,24,60,36,24,SMU,SMU,62.9,55.5,,
143951,Brashard Smith,HB,0,2025,2025,287,64.2,77.5,52,55.6,01,0,1,0,9,40,23,5,77,49,28,SMU,SMU,77.6,53.2,68.3,
144016,Jaden Bradley,WR,0,2026,2026,325,71.3,74,,61.1,23,0,1,0,0,11,0,7,18,11,7,UNLV,UNLV,62.9,69.9,,
144121,Tristan Leigh,T,0,2026,2026,140,45.7,77.5,31.5,51.9,71,0,1,0,46,0,0,28,74,46,28,CLEMSON,CLEMSON,,,,
144122,Ryan Linthicum,C,0,,2026,140,54,79.9,29.8,60.3,53,0,1,0,46,0,0,28,74,46,28,CLEMSON,CLEMSON,,,,
144123,Phil Mafah,HB,0,2025,2025,140,62.7,76.4,81.5,57.4,07,0,1,0,7,25,13,3,48,32,16,CLEMSON,CLEMSON,74.4,53.6,65.2,
144134,Banks Pope,TE,0,,2026,140,60,64.3,,60,44,0,1,0,0,0,0,1,1,0,1,CLEMSON,CLEMSON,,,,
144140,Marcus Tate,G,0,2025,2025,140,59.4,80,43.5,61.8,74,0,1,0,42,0,0,27,69,42,27,CLEMSON,CLEMSON,,,,
144230,Chamon Metayer,TE,0,2026,2026,110,61.2,75.7,68.4,73.8,07,0,1,0,1,19,0,17,37,20,17,ARIZONA ST,ARIZONA ST,61,52.1,,
144243,Josh Atkins,T,0,,2027,110,68.6,74,82.9,63.2,65,0,1,0,14,0,0,15,29,14,15,ARIZONA ST,ARIZONA ST,,,,
144356,Roderick Daniels Jr.,WR,0,2025,2025,287,64.7,0,,59.7,13,1,1,1,0,55,0,29,85,56,29,SMU,SMU,72.1,67.9,,50.8
144358,Stone Eby,TE,0,,2026,287,55.4,72.5,71.8,54.1,44,0,1,0,1,3,0,4,8,4,4,SMU,SMU,,56.6,,
144404,Bryce Bohanon,WR,0,,2026,319,53.9,73.5,,61.1,83,0,1,0,0,11,0,11,22,11,11,TULANE,TULANE,,53.8,,
144442,Braylon Braxton,QB,0,,2026,214,64.3,77,,60,01,0,1,31,0,0,15,26,72,31,41,MARSHALL,MARSHALL,74.2,,57.6,67.3
144620,Mario Williams,WR,0,2025,2025,319,75.7,77.3,,60.1,04,0,1,0,0,31,0,10,41,31,10,TULANE,TULANE,66.2,74.6,,
144626,Savion Byrd,T,0,,2026,287,60,78.3,57.1,59.5,54,1,1,0,57,0,0,31,88,57,31,SMU,SMU,,,,
144723,Hayden Conner,G,0,2025,2025,311,58.7,80.5,81.7,48.9,76,0,1,0,55,0,0,23,78,55,23,TEXAS,TEXAS,,,,
144725,Juan Davis,TE,0,,2025,311,56.8,73.5,57.2,65.2,81,0,1,0,4,9,0,9,22,13,9,TEXAS,TEXAS,,50.9,,
144726,Gunnar Helm,TE,0,2025,2025,311,42.6,78.6,55.3,56.4,85,0,1,0,12,43,0,23,78,55,23,TEXAS,TEXAS,61,41,,
144727,Casey Cain,WR,0,,2026,325,57.2,67.8,,,01,0,1,0,0,2,0,0,2,2,0,UNLV,UNLV,,58.3,,
145037,Anthony Tyus III,HB,0,2025,2025,259,79.4,78.3,74.9,57,02,0,1,0,5,24,27,13,69,29,40,OHIO,OHIO,78.4,62.3,80.6,
145087,Khalil Dinkins,TE,0,2026,2026,266,55.3,76.5,76,60.4,16,0,1,0,6,18,0,18,42,24,18,PENN STATE,PENN STATE,61,52,,
145089,Liam Clifford,WR,0,2026,2026,266,51.6,76.8,62.1,58.4,02,0,1,0,1,22,0,18,41,23,18,PENN STATE,PENN STATE,,51.3,,
145090,Harrison Wallace III,WR,0,2026,2026,266,68.9,78.5,,61,06,0,1,0,0,40,0,17,57,40,17,PENN STATE,PENN STATE,65,68.3,,
145179,Nolan Rucci,T,0,2026,2026,266,71.2,77.2,68.8,69.7,72,0,1,0,44,0,0,32,76,44,32,PENN STATE,PENN STATE,,,,
145265,Chuck Montgomery,WR,0,,2026,214,68.8,74.5,,61,10,0,1,0,0,15,0,11,26,15,11,MARSHALL,MARSHALL,68.8,68.6,,
145269,Ethan Payne,HB,0,,2025,214,62.9,73.5,29.4,46.8,28,0,1,0,7,7,9,4,27,14,13,MARSHALL,MARSHALL,72.6,60.7,67.1,
145666,Jack Hasz,C,0,,2026,325,51,0,76.7,53.7,65,2,1,0,39,0,0,26,65,39,26,UNLV,UNLV,,,,
145709,Cade Conley,TE,0,,2026,214,60,66.3,,60,87,0,1,0,0,0,0,2,2,0,2,MARSHALL,MARSHALL,,,,
145798,Henry Hesson,QB,0,,2026,221,48.1,69.8,,60,12,0,1,2,0,0,0,7,9,2,7,MIAMI OH,MIAMI OH,61.8,,52.6,
145809,Keyon Mozee,HB,0,,2025,221,67.8,72.5,70.4,60,03,0,1,0,12,3,11,1,27,15,12,MIAMI OH,MIAMI OH,73.6,64.1,66,
145815,Kolby Borders,G,0,,2025,221,55.5,77,34.8,58.7,64,0,1,0,27,0,0,12,39,27,12,MIAMI OH,MIAMI OH,,,,
